xtcAuto125520,升达,5520,0114932,套,NO852425
AZ130133,李宁、安踏、匹克、361°、特步、沃特、乔丹、康威,0133,0252079,台,NO369795
AZ130348,乔丹,0348,0284025,页,NO055498
AZ130521,康威,0521,0210427,,NO149942
AZ130634,特步,0634,0261371,双,NO537334
AZ133948,匹克,3948,0294197,双,NO427402
AZ134808,0292293,4808,沃特,只,NO876646
AZ135023,0283548,5023,匹克,双,NO209403
AZ140336,0282971,0336,康威,双,NO332960
AZ140623,0246841,0623,361°,,NO418660
AZ140747,0223895,0747,361°,,NO415283
AZ140926,0204161,0926,,只,NO667910
AZ141037,0219121,1037,安踏,双,NO511514
AZ141235,0201623,1235,,只,NO142681
AZ141837,0178499,1837,卡尔玛,件,NO965263
AZ142255,0151500,2255,圣象,件,NO689829
AZ142417,0172831,2417,安信,件,NO637435
AZ142533,0184995,2533,圣象,台,NO982697
AZ142711,0190159,2711,圣象,台,NO107783
AZ143028,0159436,3028,生活家,台,NO822421
AZ143028,0139249,3028,卡尔玛,台,NO039690
AZ143028,0179820,3028,圣象,台,NO146388
AZ143151,0154063,3151,久盛,件,NO618523
AZ143151,0165812,3151,永吉地板,件,NO209137
AZ143152,0166286,3152,生活家,件,NO254840
AZ145801,0175691,5801,升达,台,NO274682
AZ145801,0102096,5801,菲林格尔,件,NO489723
AZ145801,0192357,5801,久盛,台,NO537958
AZ154900,0164218,4900,菲林格尔,件,NO664595
AZ154909,0188637,4909,生活家,台,NO621134
AZ171510,0163890,1510,永吉地板,件,NO425322
AZ171637,0106560,1637,菲林格尔,件,NO600004
AZ172047,0199563,2047,安信,台,NO505987
AZ093050,0194883,3050,卡尔玛,台,NO999839
AZ094143,0197777,4143,升达,台,NO638384
AZ094233,0193233,4233,升达,台,NO494912
AZ094445,0166021,4445,卡尔玛,台,NO061135
AZ103451,0154334,3451,菲林格尔,台,NO361636
AZ103551,0105560,3551,久盛,件,NO431136
AZ114613,0175517,4613,安信,件,NO628559
AZ133117,0109237,3117,大自然,台,NO388979
AZ144300,0123324,4300,卡尔玛,台,NO886922
